sqft,bedrooms,bathrooms,age_years,location_score,price
1360,3,2.2,5.6,8.3,339800
2434,4,4.6,31.6,4.4,419700
1704,3,2.8,14.5,2.2,287100
1263,4,2.9,12.5,2.8,288500
1591,4,2.7,66.2,3.1,292900
2068,5,3.5,3.4,3.7,402900
1434,3,2.7,33.5,6.8,281900
1266,3,1.5,13.5,6.4,329200
1958,2,2.5,70.3,7.3,350400
1959,6,4.6,44.6,4.3,419300
1470,5,4.0,18.5,8.4,315300
1494,3,2.6,40.2,2.8,278300
1951,5,3.5,58.5,5.2,422500
859,3,2.8,76.6,8.2,205200
885,4,3.3,17.6,2.6,203300
1333,2,1.5,70.9,2.0,184900
1661,4,2.5,74.7,9.0,212600
2002,2,1.8,73.3,4.1,235200
2759,4,4.0,50.8,7.2,452100
2357,4,2.0,50.4,1.2,393200
1696,4,1.9,32.3,7.2,323700
1788,1,1.2,60.2,3.8,223600
1148,3,2.3,42.5,1.5,204600
1788,3,2.4,54.2,6.5,318600
1612,3,2.5,34.3,3.2,288400
2010,2,1.5,58.5,4.5,293200
1262,5,4.5,66.0,1.7,278400
2138,4,1.8,11.7,2.3,346100
2796,3,1.7,66.6,3.7,459300
1729,3,2.2,43.2,1.8,224900
2061,3,1.1,67.6,9.2,366200
2249,4,2.8,34.5,1.1,378400
1539,3,3.5,30.3,5.4,296400
1946,5,3.5,73.2,2.1,326900
1808,3,2.5,20.1,3.8,287200
1863,6,3.2,67.5,9.3,372200
1298,5,3.1,38.7,2.5,262500
1816,2,1.4,41.1,9.7,321900
2124,5,3.3,24.7,2.9,354100
2743,2,2.6,45.8,7.7,417200
2424,4,3.3,26.0,5.9,392600
3200,3,1.5,3.1,9.0,544000
1301,5,3.7,21.8,6.0,278200
2367,5,3.8,0.5,5.8,490800
1919,4,3.7,78.3,2.8,270500
3223,4,4.0,77.3,2.5,456300
1275,3,1.6,31.6,9.2,264600
1254,2,1.1,58.3,4.0,175800
1410,3,1.4,27.7,4.3,278200
450,2,1.5,53.7,7.8,125200
1458,4,3.2,64.4,4.0,310900
1307,3,3.0,75.7,9.6,251300
1898,6,4.0,32.0,7.6,433300
2022,4,2.7,62.7,6.4,340900
3020,4,3.0,21.3,8.9,465100
2418,2,1.1,79.2,1.4,290600
1425,5,5.0,2.1,3.3,330900
1216,5,2.4,48.3,5.2,241100
2120,3,2.4,52.8,3.0,321500
942,4,4.3,55.0,7.7,291200
2990,4,2.9,9.6,9.3,469800
2567,2,1.6,75.1,4.8,439100
1495,3,2.0,14.5,4.1,248700
686,3,2.2,49.8,9.7,233000
2680,2,2.7,17.8,5.0,393100
1726,3,1.0,24.6,5.4,245000
2605,2,2.8,43.7,4.2,367700
764,1,1.0,33.4,9.2,192000
1410,2,1.5,12.8,6.1,289800
1803,6,3.8,13.7,7.9,371900
1831,3,2.7,33.5,8.3,291600
1507,6,3.0,60.6,4.1,276300
2205,3,2.6,71.8,4.9,333500
1106,3,3.7,6.7,8.6,261300
1707,3,1.3,31.4,4.3,314100
1878,3,2.4,8.0,8.1,429500
2134,2,1.2,1.3,9.5,393500
2263,4,3.2,52.9,6.6,411600
1069,2,1.7,48.2,7.7,239000
803,4,2.5,13.0,8.2,171000
2630,4,3.2,18.7,8.6,473600
2016,2,3.0,1.9,4.6,299600
1313,2,1.6,66.8,1.5,133500
2808,4,3.4,78.0,4.6,446600
1875,3,1.4,10.8,7.1,349600
2567,2,1.0,18.5,5.1,372400
1844,6,4.4,69.5,7.7,348900
3139,2,2.7,74.1,4.2,604900
2941,4,3.1,33.6,6.7,427200
1638,6,3.9,4.0,2.7,304800
2432,3,2.3,3.2,7.7,423500
2219,2,1.0,45.9,5.9,361200
2690,2,2.1,31.4,2.8,383200
1173,3,2.9,2.3,3.6,212000
2246,2,1.4,46.7,7.7,405700
2488,4,2.6,0.9,5.3,468200
657,2,1.9,63.0,2.9,93800
1031,3,2.0,24.5,9.7,207000
474,6,4.1,3.2,7.4,259100
1625,4,4.4,47.1,9.6,466900
2266,4,2.7,31.8,4.8,368000
2777,3,2.0,77.9,5.3,473300
1848,4,2.4,43.5,9.1,351800
2859,3,2.8,22.0,5.7,487700
903,3,2.2,56.8,7.4,182400
693,2,1.2,21.7,3.3,131800
1764,5,4.4,72.3,5.0,353600
2050,3,3.3,30.0,2.1,347300
1779,2,1.3,44.0,2.9,249600
456,3,1.0,4.0,1.0,124900
1742,3,3.0,34.1,1.4,275900
952,4,2.4,66.6,9.8,242800
2235,4,3.5,64.5,3.2,369400
2038,4,1.5,17.9,7.0,309700
1189,1,1.7,18.1,8.6,272600
1466,3,1.5,65.4,6.0,240700
1112,3,2.8,74.4,2.4,177300
1759,1,1.1,7.6,7.6,307500
2421,3,1.6,36.0,6.4,410900
1159,4,2.6,27.0,7.6,302100
2128,2,2.2,69.7,7.9,367100
1455,3,2.4,6.7,9.8,344100
1285,2,2.1,16.9,6.2,227500
1730,1,2.5,60.2,4.1,257700
1127,3,1.2,4.1,6.8,277300
1440,6,5.2,39.4,1.6,269200
1021,4,3.0,35.4,9.1,269400
3077,6,3.5,26.8,2.1,394300
1823,3,1.4,31.6,4.0,318100
1345,2,1.6,42.4,8.3,273000
1939,3,2.9,12.9,6.4,329200
1727,3,2.2,45.8,4.5,284800
1656,5,4.6,64.4,5.3,309800
2199,2,1.0,60.8,8.7,318900
2292,3,2.3,12.3,4.1,301300
1455,2,1.0,11.9,8.8,332200
1426,3,2.6,21.5,1.8,257300
1621,4,3.5,28.9,8.0,364300
450,3,2.0,32.7,8.6,158700
815,3,1.0,54.4,2.6,123400
2688,3,2.4,4.5,4.9,426500
2869,3,2.6,2.8,2.5,388700
1638,4,3.2,31.4,7.4,390900
2175,5,4.4,55.8,5.8,438900
2002,6,3.4,15.5,6.7,380600
3801,4,3.4,51.3,2.8,505400
2528,3,3.1,20.8,2.9,395100
1717,4,1.7,70.9,1.4,222600
1179,3,2.5,71.7,3.9,230900
756,3,1.9,23.8,6.0,197500
1932,5,3.4,18.4,8.7,381600
1308,1,1.3,32.9,7.0,252600
876,5,3.2,19.2,4.9,238300
1380,3,1.8,53.8,9.6,260200
1097,4,2.9,66.1,7.5,189600
2897,4,2.1,53.8,9.4,451600
2373,5,2.7,65.9,5.7,334800
1795,4,3.4,31.8,3.3,315200
2762,4,2.1,12.5,1.5,389700
1850,2,2.2,59.0,7.5,304300
1240,3,2.6,28.8,2.1,211900
2790,2,1.0,53.7,3.7,436100
2150,4,2.4,21.7,5.8,421300
1126,3,3.1,6.5,6.1,244000
1676,4,2.2,79.4,6.4,279600
1231,1,1.0,12.5,2.5,208700
901,2,2.0,79.1,4.4,128300
2402,4,3.4,78.2,6.6,311800
3041,2,1.5,63.5,9.7,494700
891,2,1.3,52.8,7.5,165500
2166,1,2.1,46.2,9.3,401400
1377,6,5.3,69.3,7.9,317200
1483,4,3.6,23.2,6.3,387400
1415,3,2.4,37.4,2.7,243900
1238,3,1.7,49.6,7.0,231300
1832,3,1.7,32.9,6.6,298900
1260,4,3.3,34.2,6.4,305700
1976,4,3.2,26.4,5.4,325000
1767,2,2.7,45.1,5.8,327200
1645,2,2.2,68.0,4.0,211200
1210,2,1.0,16.1,5.7,240100
1425,4,3.6,74.8,2.8,235400
2291,4,2.2,55.1,8.2,391400
2126,3,2.0,65.9,2.7,256700
1165,1,1.3,44.5,1.8,145500
1865,2,3.1,62.4,4.9,297500
2288,6,6.0,1.3,6.9,522700
715,3,2.7,65.5,4.9,116000
2153,4,2.8,3.2,3.5,384600
1369,4,3.3,71.2,6.0,295000
2171,3,2.9,79.4,4.1,390000
1304,2,1.5,23.5,9.4,264200
627,2,3.0,16.8,9.3,170100
742,4,3.1,61.2,5.5,172700
1831,4,3.2,20.2,4.0,360000
1969,4,3.4,69.2,7.6,354400
1212,3,2.6,8.2,1.3,249100
2215,1,1.7,10.1,5.3,334200
720,6,3.7,78.3,4.0,143800
1757,4,2.5,53.9,9.3,397400
1013,3,1.5,67.8,1.1,126700
1376,6,4.4,25.9,6.0,332500
1831,4,3.4,54.1,7.7,386700
1241,4,3.2,47.5,5.4,311100
1550,4,4.1,48.3,1.8,301900
2454,4,2.9,54.6,9.8,399300
1425,4,3.4,46.0,5.7,281500
2343,2,1.0,34.3,6.5,418900
1066,3,2.0,22.1,3.1,174500
2144,5,4.0,61.5,5.4,443900
2737,2,2.3,18.1,4.9,413000
450,3,2.1,55.4,1.7,163200
1282,3,2.2,18.7,2.0,245900
2175,3,1.2,50.0,8.5,400000
1668,4,2.7,59.8,3.2,324500
2041,5,4.1,17.5,2.8,337300
1407,3,2.7,4.8,5.5,262600
1856,2,2.1,10.5,7.9,352900
1699,2,1.7,48.5,1.6,260800
2559,5,3.5,68.0,6.2,448200
1965,4,2.4,3.6,2.1,345900
2019,3,2.8,58.7,1.3,305700
1532,4,3.2,27.3,1.5,207900
1483,5,3.8,38.3,8.5,384500
1519,5,3.1,74.3,2.1,243400
2056,5,2.0,26.6,1.4,374900
1526,3,3.1,37.2,4.9,316300
1988,4,2.6,1.1,8.6,433500
3149,3,1.7,6.5,3.4,425100
2366,5,4.0,20.7,4.8,500700
1588,4,2.6,2.2,1.4,308500
2581,4,3.6,50.5,5.0,393300
1535,4,3.3,34.1,6.2,329800
475,2,2.2,43.9,6.1,152300
1145,3,1.3,14.0,4.0,179100
584,6,4.9,23.7,3.8,279500
1572,5,3.7,53.1,2.0,338900
1812,1,1.0,77.2,4.3,217400
2890,2,1.8,4.0,1.9,437100
2013,2,1.0,71.2,7.9,257100
1658,4,3.2,46.2,9.7,326100
2339,4,2.2,45.1,9.7,430800
450,2,1.0,40.0,8.8,183800
1953,3,1.2,5.6,6.4,341600
2301,5,4.3,7.2,7.3,507700
839,4,2.5,48.1,3.6,208500
2543,3,3.4,27.3,6.7,436000
2020,4,2.5,73.4,5.1,326400
1530,3,1.1,32.5,5.3,308900
2211,3,1.5,11.5,7.8,370600
3276,4,3.8,57.2,3.5,614300
1918,4,2.8,23.5,3.9,311000
1961,5,3.1,42.0,9.3,431600
1501,4,3.0,55.8,1.5,258000
1248,4,3.3,72.0,5.4,239200
2340,2,2.5,63.4,9.2,424900
1244,3,3.3,54.1,6.5,262100
1847,1,1.0,54.4,5.9,280800
1490,3,1.4,75.7,3.2,285200
2111,4,2.6,23.7,4.1,367600
2017,6,4.3,0.1,8.7,463200
2474,2,1.0,21.8,6.0,456700
1468,3,1.6,17.4,5.6,276600
1625,4,3.1,52.9,1.9,272600
1164,2,1.7,50.7,1.1,92200
1511,4,2.9,47.5,9.7,302800
2045,4,2.4,1.3,4.4,313000
2292,4,2.7,58.3,6.4,480100
1201,2,1.1,25.9,1.7,208500
2365,3,2.9,53.2,7.1,418200
2681,4,3.6,44.5,9.4,443700
2069,4,1.6,27.4,6.2,298100
3020,1,1.0,10.8,2.1,508800
1297,4,1.9,7.6,6.2,327200
991,1,1.0,66.5,7.9,190000
644,4,2.8,73.5,4.7,200300
2772,2,1.0,52.0,8.9,443300
2225,6,3.5,8.3,6.8,407000
1764,3,1.6,32.2,9.1,337100
1982,3,2.4,58.3,6.6,357300
1068,2,1.7,62.4,2.2,226500
3390,3,1.8,9.5,3.8,476200
1884,5,3.6,0.0,2.8,388300
1871,6,3.7,57.0,9.2,363100
2272,3,2.1,28.5,7.8,426400
2113,3,3.5,20.4,7.1,405500
1946,4,3.8,1.0,3.7,374400
1286,5,2.6,43.2,2.7,293000
2106,4,3.5,68.1,7.8,424000
3023,3,2.9,76.6,5.3,493600
2675,3,1.5,45.3,3.0,318900
2836,4,3.5,41.2,6.5,417600
1468,1,2.2,6.8,1.4,215400
1157,4,2.1,43.9,3.9,169600
1718,3,1.7,30.4,5.2,277800
1836,4,3.6,48.6,2.3,332100
2511,2,1.9,31.1,9.9,425900
700,4,3.3,19.2,2.9,220800
2794,3,2.5,7.6,2.2,374100
1697,4,3.2,25.2,2.8,323400
1523,2,1.0,7.7,7.9,267600
1142,4,3.6,14.2,4.8,312600
724,4,3.7,79.0,6.1,225800
2335,4,2.7,35.5,1.2,370700
1848,4,2.9,42.5,1.3,329800
962,4,1.8,69.9,5.0,207400
958,4,3.3,79.6,8.3,217300
1582,3,2.7,46.6,9.0,319800
2885,4,2.9,65.0,1.8,481900
1631,3,3.1,26.2,5.8,318200
823,2,1.5,24.5,9.2,237600
1640,2,2.1,32.2,4.5,285800
1623,3,1.6,53.8,8.5,292900
450,4,2.9,54.6,2.2,151000
1765,4,2.8,25.2,9.4,320200
1650,4,3.1,10.7,7.8,401300
2253,3,2.0,50.6,9.5,365900
3002,3,2.2,10.3,7.1,509300
2532,2,2.3,46.3,4.3,314200
1625,3,2.0,55.5,9.4,299100
1081,3,1.2,56.0,3.5,180400
3473,2,2.9,60.3,4.0,379000
1838,2,2.7,69.8,7.3,337300
1809,4,2.0,40.0,7.9,373100
1784,4,3.4,58.4,9.4,351400
1929,6,3.7,49.5,2.8,330500
1706,5,3.7,14.9,8.2,439900
1427,4,3.1,2.1,7.6,402000
1445,3,2.1,22.8,1.6,194200
1779,4,2.4,35.4,4.5,381100
1447,4,2.4,49.4,3.5,291600
1337,2,1.1,68.0,3.7,237400
1869,3,1.7,15.7,9.8,354600
1634,5,3.5,10.0,6.8,407600
2778,3,1.8,77.1,7.5,388300
450,4,3.4,8.6,9.8,251400
2509,4,3.9,38.3,4.4,437800
2610,2,1.3,46.8,8.2,356200
452,3,2.5,43.3,4.9,161300
1577,3,2.6,6.9,8.8,333700
1559,1,1.4,4.6,2.6,226000
885,1,1.2,8.4,9.5,256700
1294,5,4.0,46.8,3.0,304200
1078,3,2.6,43.5,3.9,222800
2939,3,1.4,18.7,7.8,499700
2408,3,2.9,51.0,4.5,367200
2627,5,4.1,65.6,6.5,486700
2269,3,1.8,3.3,5.0,399900
1066,3,2.3,39.9,7.7,262800
1459,5,4.0,55.1,3.1,346300
2118,5,3.4,20.2,1.5,375700
1006,2,2.5,24.6,3.7,201600
2263,4,4.6,49.1,5.3,459900
1644,3,1.7,71.8,2.5,231500
1556,3,1.3,64.8,4.2,271600
2262,2,1.9,46.7,4.6,371100
2089,2,2.2,58.4,1.5,285900
1565,4,2.7,29.2,6.2,295900
2554,3,3.3,51.3,9.0,526200
1097,3,1.4,37.3,2.4,208700
2200,4,3.4,15.2,6.4,400300
2186,4,2.5,56.1,7.0,368000
1599,2,2.9,44.5,4.8,242600
2012,4,4.3,28.7,7.3,421900
987,2,1.2,72.9,4.7,138300
2401,4,2.5,1.7,5.5,486600
1680,4,3.5,25.3,1.1,284100
1460,6,3.8,4.6,7.2,329800
